recruitId,recruitName,recruitTag
300032,Java开发工程师,2年及以上|本科|五险一金|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检
300033,Java开发工程师,3-4年|本科|java|数据库|spring|mybatis|dubbo|linux|微服务|redis|五险一金|绩效奖金|年终奖金|定期体检
300034,Java开发工程师,2-3年|大专|java|五险一金|补充医疗保险|补充公积金
300035,Java开发工程师,2年及以上|本科|五险一金|补充医疗保险|补充公积金|专业培训|定期体检|年终奖金|员工旅游
300036,Java开发工程师,2年及以上|本科|java|开发工程师|软件工程师|五险一金|员工旅游|绩效奖金|周末双休|加班补贴|带薪年假|节日福利|人才公寓宿舍
300037,Java开发工程师,3年及以上|本科|java|mysql|oracle|springboot|html|需求分析|redis|sql|vue|sqlserver|五险一金
300038,高级软件工程师Java,4年及以上|本科|计算机|java|mysql|数据库|spring|jquery|springmvc|javascript|sqlserver|解决方案|五险一金|专业培训|绩效奖金|年终奖金|定期体检|餐饮补贴|免费班车|提供住宿|双休|驻外补贴
300039,Java开发,3-4年|大专|五险一金|补充医疗保险|员工旅游|专业培训|年终奖金|绩效奖金|弹性工作|定期体检
300040,Java开发工程师,2年及以上|本科|五险一金|补充医疗保险|补充公积金|专业培训|定期体检|年终奖金|员工旅游
300041,中级Java工程师,3年及以上|大专|交通补贴|餐饮补贴|通讯补贴
300042,Java后端开发工程师,3年及以上|本科|专业培训|产品激励奖金
300043,Java开发工程师,1年及以上|本科
300044,JAVA开发工程师,3年及以上|本科|专业培训|定期体检|五险一金|员工旅游|股票期权|定期体检|绩效奖金|带薪年假
300045,java工程师,3-4年|本科|java|软件开发|软件工程师|软件|工程师|开发工程师|java开发|节日福利|周末双休|绩效奖金|五险一金|年终奖金|项目绩效
300046,中级Java工程师,3年及以上|本科|五险一金|交通补贴|餐饮补贴|免费班车|年终奖金|专业培训
300047,Java开发工程师,4年及以上|本科|java|软件开发|java开发|五险一金|年终奖金|定期体检|周末双休
300048,Java开发工程师,2年|本科|软件开发|软件工程师|java|java开发|五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|绩效奖金|定期体检|生日福利|通讯补贴|交通补贴
300049,Java开发工程师,4年及以上|本科|java|mysql|linux|redis|vue|springcloud|前端|软件开发|spring|五险一金|年终奖金|员工旅游
300050,Java开发-13薪,2年及以上|大专|LIMS|员工旅游|专业培训|绩效奖金|年终奖金|餐饮补贴|五险一金|员工旅游|专业培训|绩效奖金|年终奖金|股票期权|定期体检
300051,Java开发工程师,2年|本科|开发|研发|前端|后端|五险一金|补充医疗保险|通讯补贴|餐饮补贴|年终奖金|定期体检|高温补助
300052,Python开发工程师,2年及以上|本科|五险一金|定期体检
300053,Python软件工程师,3年及以上|本科|后端|重庆|五险一金|交通补贴|通讯补贴|周末双休|商业保险|弹性工作|专业培训|定期体检|年终奖金|五险|绩效奖金|带薪年假|补充医疗保险|节日礼金|双休
300054,Python工程师,3年及以上|本科|做五休二|高温补贴|通讯补贴|节日福利|五险一金|带薪年假
300055,Python开发,5-10年|本科|ansible|五险一金|补充医疗保险|定期体检|专业培训
300056,Python开发工程师,3-4年|本科|Odoo|python编程|五险一金|节日福利
300057,Python开发工程师,3-4年|本科|计算机|开发|调试|编程|研发|结构设计|数学|docker|多线程|ai|五险一金|定期体检|弹性工作|专业培训
300058,Python开发工程师,3年及以上|本科|五险一金|年终奖金|免费班车|餐饮补贴|定期体检|员工旅游|周末双休
300059,高级Python工程师,3-8年|大专|mysql|数据库|linux|redis|架构设计|代码实现|https|requests|xpath|网页抓取|五险一金
300060,Python开发工程师,2年|本科|python|软件开发|软件工程师|五险一金|员工旅游|餐饮补贴|年终奖金|定期体检
300061,python开发工程师,2年及以上|本科|mysql|数据库|数据分析|linux|redis|数据结构|数据库设计|文档编写|大数据|mongodb|五险一金|员工旅游|定期体检|弹性工作|专业培训|绩效奖金|年终奖金
300062,Python开发工程师,2年及以上|本科|Python|C++|Mysql|五险一金|弹性工作
300063,Python开发工程师,3-4年|本科|计算机|mysql|oracle|linux|redis|编程|shell|关系型数据库|web前端开发|postgresql|五险一金|年终奖金|绩效奖金|周末双休|带薪年假|定期体检|交通补贴
300064,Python工程师,2年|本科
300065,Python软件开发工程师,2年|本科|python|软件工程师|五险一金|定期体检|公司旅游|绩效奖金|员工旅游|年终奖金
300066,Python开发工程师,3-5年|本科|计算机|需求分析|开发|英语|性能测试|编码|大数据|性能调优|技术文档|数据结构算法|五险一金|交通补贴|出国机会|专业培训|通讯补贴|餐饮补贴|弹性工作|定期体检|超长年休假
300067,Python开发工程师,3-4年|本科|计算机|mysql|oracle|linux|redis|编程|shell|关系型数据库|web前端开发|postgresql|五险一金|年终奖金|绩效奖金|周末双休|带薪年假|定期体检|交通补贴
300068,Python工程师,3年及以上|本科|java|五险一金|补充医疗保险|补充公积金
300069,Python开发工程师,2年及以上|本科|计算机|编程|架构优化|五险一金|周末双休|年终奖金|专业培训|带薪年假|包三餐
300070,Python开发工程师,5-7年|本科|python|数据库|脏数据处理|单病种|计算机软件|医学|医疗信息化|django|餐饮补贴|弹性工作|专业培训|员工旅游|五险一金|绩效奖金
300071,Python开发工程师,3年及以上|本科|计算机|mysql|oracle|linux|redis|编程|shell|关系型数据库|web前端开发|postgresql|五险一金|年终奖金|绩效奖金|周末双休|带薪年假|定期体检|交通补贴
300072,网络安全工程师,2年及以上|本科|安全防护系统|网络安全技术|网站渗透|ddos攻击|ddos攻防|服务漏洞扫描|数据包结构|网络安全管理|tcp/ip协议|sql注入|交通补贴|绩效奖金|定期体检|五险一金|免费班车|带薪高温假|多晋升通道
300073,网络安全工程师,3年及以上|本科|通信|文档编写|计算机网络|网络安全|iso|渗透测试|cisp|安全加固|等级保护|能源行业|五险一金|定期体检|五险一金|定期体检
300074,网络安全工程师,3年及以上|本科|安全服务|电力监控系统|测评报告|网络安全保障|风险评估报告|网络安全运维|安全检测|五险一金|补充医疗保险|补充养老保险|专业培训|节日福利|定期体检|免费班车|年终奖金|周末双休
300075,高级网络安全工程师,5年及以上|本科|管理|数据库|项目管理|团队管理|客户沟通|运维|服务器|大数据|质量控制|中间件|周末双休|带薪年假|五险一金|绩效奖金|餐饮补贴|节日福利|补充医疗保险|年终奖金|定期体检|节日补贴
300076,网络安全工程师 (MJ000123),3年及以上|大专|网络安全|安全措施|安全加固|安全攻防|安全审查|漏洞管理|五险一金|员工旅游|专业培训|年终奖金|绩效奖金|定期体检|员工宿舍|五险一金|员工旅游|专业培训
300077,网络安全工程师,3年及以上|大专|网络安全|渗透测试|蜜罐|防火墙|入侵检测|安全产品|五险一金|年终奖金|交通补贴|节假日红包|团体意外险
300078,网络安全工程师,3年及以上|本科|安全服务|电力监控系统|测评报告|网络安全保障|风险评估报告|网络安全运维|安全检测|五险一金|补充医疗保险|补充养老保险|专业培训|节日福利|定期体检|免费班车|年终奖金|周末双休
300079,网络安全工程师,3-5年|本科|linux|运维|it|服务器|网络安全|交换机|网络设备|故障排除|配置管理|it系统|专业培训|节日福利|员工旅游|定期体检|绩效奖金|年终奖金|五险一金
300080,网络安全测评工程师-研发中心,2年|本科|渗透测试|网络安全|五险一金|绩效奖金|餐饮补贴|年终奖金|股票期权|专业培训|定期体检
300081,驻场IT网络安全工程师,3-4年|本科|系统运维|网络|安全|CCIE|五险一金|专业培训|年终奖金|员工旅游|定期体检
300082,信息网络安全工程师,1年及以上|本科|网络安全|网络系统|安全产品|年终奖金
300083,网络安全运维工程师,3年及以上|本科|驻场运维|网络工程师|信息安全|五险一金|年终奖金|绩效奖金|定期体检
300084,网络安全等级保护测评师（项目经理）(J10007),3年及以上|本科|项目管理|安全|测评|测评报告|保测评|带薪年假|五险一金|绩效奖金|餐饮补贴|周末双休|年终奖金
300085,网络安全工程师,3年及以上|本科|安全日志|渗透测试|安全设备|安全巡检|安全服务|linux|java|go|脚本语言|五险一金|定期体检|周末双休|电脑补贴
300086,网络安全工程师,2年|本科|计算机|网络安全|电商平台|tcp|ip协议|防火墙|安全漏洞|网络安全攻防|安全评估|ddos|五险一金|带薪年假|高温补贴|节日福利|定期体检|通讯补贴|工作餐|生日福利|司龄工资
300087,高级网络安全工程师,3-4年|本科|网络安全|go|应急处理|数据安全|安全防护|漏洞扫描|nmap|网络安全攻防|ips|nessus|餐饮补贴|专业培训|五险一金|补充医疗保险|年终奖金|定期体检|绩效奖金|企业年金|员工团体险|雇主责任险
300088,网络安全等级保护测评师（项目经理）(J10036),5年及以上|本科|培训|计算机|管理|售前支持|项目策划|网络工程|管理培训|政策法规|cisp|安全服务|带薪年假|五险一金|绩效奖金|餐饮补贴|周末双休|年终奖金
300089,网络安全工程师,3年及以上|本科|网络安全|安全事件处理|cissp|java|事件响应|网络安全检测|python|五险一金|补充医疗保险|交通补贴|定期体检|周末双休|绩效奖金|专业培训
300090,网络安全工程师,3年及以上|本科|网络设备|安全设备|五险一金|补充公积金|交通补贴|餐饮补贴
300091,网络安全工程师(007104),3-4年|本科|网络安全|防火墙|网络工程|应急演练|渗透测试|安全产品|cissp|漏洞扫描|cisp_pte|五险一金|定期体检|专业培训|周末双休
300092,网络安全工程师,3-5年|本科|渗透测试|技术研究|sql注入|漏洞挖掘|红队技术|五险一金|交通补贴|餐饮补贴|通讯补贴|定期体检|员工旅游
300093,软件网络安全工程师,2年及以上|本科|网络安全培训|五险一金|年终奖金|专业培训|定期体检|年度调薪|免费工作餐|交通补贴
300094,网络安全测评工程师（非驻场）,2年|本科|应急演练|cisp|ccnp|入网安全测评|渗透测试|漏洞扫描|cissp|hcip|cisaw|cisp_pte|周末双休|五险|节日福利
300095,数据中心-应用安全岗-网络安全专项招聘(J66900),3年及以上|本科|金融|软件开发|安全管理|保险行业|应用开发|风险管控|应用安全|安全风险评估|信息安全|五险一金|补充医疗保险|年终奖金|定期体检|五险一金|补充医疗保险|餐饮补贴|绩效奖金|全额社保|采暖补贴|高温补贴|定期体检|带薪年假|周末双休
300096,网络安全运维工程师,3-4年|本科|运维|网络设备|华为|h3c|锐捷|中兴|技术支持|网络安全运维|五险一金|通讯补贴|年终奖金|绩效奖金|定期体检|交通补贴|专业培训
300097,网络安全工程师,5年及以上|本科|汽车行业|mcu|dsp|安全分析|安全计划|漏洞分析|汽车电子开发|信息安全|汽车网络安全|汽车信息安全|五险一金|员工旅游|专业培训
300098,网络安全工程师-安全服务方向,2年及以上|本科|计算机|数据库|项目实施|网络|项目验收|中间件|操作系统|安全检查|网络安全|防火墙|补充医疗保险|餐饮补贴|定期体检|六险二金|大型央企|周末双休
300099,网络安全工程师(J12717),5年及以上|本科|网络安全|五险一金|交通补贴|餐饮补贴|通讯补贴|节日福利
300100,网络安全工程师,3年及以上|本科|网络安全|cisp|pmp|漏洞扫描|五险一金|定期体检|专业培训|周末双休|带薪年假|做五休二
300101,网络安全工程师,5年及以上|本科|汽车行业|mcu|dsp|安全分析|安全计划|漏洞分析|汽车电子开发|信息安全|汽车网络安全|汽车信息安全|五险一金|员工旅游|专业培训
300102,信息网络安全工程师,2年及以上|本科|计算机|网络安全|数据安全|网络|linux|oracle|pmp|ccnp|防火墙|风险控制|五险一金|员工旅游|绩效奖金|年终奖金
300103,网络安全工程师(J12672),5年及以上|本科|安全|数据安全|网络安全|五险一金|交通补贴|餐饮补贴|通讯补贴|节日福利
300104,网络安全,2年及以上|本科|防火墙|tcp/ip协议|网络安全技术|网站渗透|数据包结构|安全防护系统|网络安全管理|权限管理|安全策略|病毒木马防范|定期体检|五险一金|补充医疗保险|年终奖金|股票期权|多晋升通道|双休
300105,网络安全工程师,3年及以上|大专|计算机|网络安全|五险一金|员工旅游|补充医疗保险|通讯补贴|专业培训|绩效奖金|周末双休
300106,网络安全运维工程师,3年及以上|本科|计算机|mysql|数据库|网络|docker|tcp|防火墙|postgresql|交换机|网络设备|绩效奖金|年终奖金|专业培训|节日福利
300107,信息网络安全工程师,无需经验|大专|培训|javascript|网络|自动化测试|安全|编程语言|网络安全|面向对象编程|数据安全|安全保障|五险一金|补充医疗保险|补充公积金|免费班车|员工旅游|交通补贴|餐饮补贴|年终奖金|定期体检
300108,网络安全工程师,3年及以上|大专|计算机|数据库|安全|操作系统|tcp|网络安全|防火墙|网络设备|信息系统|华为|专业培训|年终奖金|弹性工作|定期体检|五险
300109,网络安全运维工程师,10年及以上|大专|带薪年假|五险一金|节日福利|专业培训|周末双休|加班补贴|做五休二
300110,网络安全运维工程师,3年及以上|本科|计算机|mysql|数据库|网络|docker|tcp|防火墙|postgresql|交换机|网络设备|绩效奖金|年终奖金|专业培训|节日福利
300111,网络安全高级咨询顾问,5年及以上|本科|计算机|数据库|咨询|软件工程|文档编写|技术方案|安全|操作系统|网络安全|网络设备|五险一金|交通补贴|绩效奖金|定期体检
300112,高级软件工程师,2年及以上|本科|c语言编程|单片机编程|arm|软件架构|编写代码|设计开发|测试验证|员工旅游|绩效奖金|年终奖金|包住宿|带薪年假|五险
300113,嵌入式软件工程师,3年及以上|本科|mcu|c++|五险一金
300114,高级软件工程师,5年及以上|本科|计算机|电子|软件开发|通信|c||需求文档|编程语言|pandas|故障排查|新能源汽车|五险一金|定期体检|员工旅游|补充公积金|交通补贴|餐饮补贴|年终奖金
300115,软件工程师,2年及以上|硕士|电子|c++|软件开发|通信|代码编写|多线程|编程语言|技术文档|mfc|vc++|五险一金|员工旅游|通讯补贴|专业培训|绩效奖金|年终奖金|股票期权|弹性工作|定期体检
300116,嵌入式软件工程师,3年及以上|本科|linux|arm|can|文档编制|电路原理图|调试工具|软件协议|计算机|年终奖金|社会保险|节日福利
300117,嵌入式软件工程师,3年及以上|本科|mcu|c++|五险一金
300118,软件工程师(机器人方向),3年及以上|本科|Ubuntu|CANopen|EtherCAT|运动控制系统|自动化控制|机器人|软件开发|研发|仿真优化|测试、调试|五险一金|定期体检|餐饮补贴|高温补贴|节日福利|全勤奖|带薪年假|加班补助
300119,DSP软件工程师,3年及以上|本科|dsp|嵌入式|产品开发|软件设计|软件开发设计|光伏储能|五险一金|年终奖金|定期体检|专业培训
300120,软件工程师-怀宁,2年|本科|节日福利|工作餐|年终奖金|生日福利|绩效奖金|缴纳社保
300121,嵌入式软件工程师,3年及以上|本科|电子|stm32|故障排查|freertos|文档编辑|电池管理系统|软硬件联调|mcu软件开发|测试软件开发|python|五险一金|定期体检|员工旅游|补充公积金|交通补贴|餐饮补贴|年终奖金
300122,嵌入式软件工程师,2-5年|硕士|计算机|电子|c++|软件开发|通信|光模块|高速光模块|软件开发语言|五险一金|免费班车|餐饮补贴|专业培训|年终奖金|生日福利|节日福利|包住宿|项目奖|知识产权奖
300123,软件工程师,2年及以上|大专|java|c语言|蓝牙|补充医疗保险|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|定期体检|社保|生日会|定期聚餐
300124,软件工程师(AGV方向),3年及以上|本科|Ubuntu|CANopen|EtherCAT|自动化控制|AGV|测试、调试|研发|仿真优化|文档编辑|平台搭建|五险一金|定期体检|餐饮补贴|高温补贴|节日福利|全勤奖|带薪年假|加班补助
300125,Windows C++工程师 软件工程师,2年及以上|本科|免费班车|补充医疗保险|餐饮补贴|交通补贴|通讯补贴|专业培训|定期体检
300126,应用软件工程师,1年及以上|本科|五险一金|补充医疗保险|补充公积金|通讯补贴|餐饮补贴|交通补贴|专业培训|定期体检|绩效奖金|年终奖金
300127,燃料电池控制系统软件工程师,3年及以上|本科|燃料电池系统|系统软件设计|五险一金|绩效奖金|年终奖金
300128,嵌入式音频处理软件工程师,2年及以上|本科|系统集成|声音|信号处理|音箱|音频处理|五险一金|周末双休|不加班|弹性上班|年终奖
300129,单片机软件工程师,2年及以上|大专|单片机|c语音|五险一金|专业培训
300130,软件工程师,2年及以上|本科|补充医疗保险|员工旅游|交通补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|五险|工龄奖|慈孝金|高温补贴
300131,嵌入式软件工程师,无需经验|大专|电子|测试|软件开发|c语言|机电|嵌入式|自控|电子硬件|技术资料归档|自动测试软件|五险一金|定期体检|带薪年假|法定节假日|员工食堂|节日慰问
300132,高级嵌入式软件工程师,2年及以上|大专|电子|测试|模拟电路|英语四级|理工|产品研发|ti|软件工程师|pic|单片机|年终奖金|大小周休假|节日福利|五险|包住
300133,软件工程师,2年及以上|大专|电子|arm|数字|c/c++|绩效奖金|年终奖金|包住宿|五险
300134,嵌入式软件工程师,2年|大专|五险一金|年终奖金|定期体检|餐饮补贴|提供住宿
300135,软件工程师,3年及以上|本科|五险一金|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金|弹性工作
300136,嵌入式软件工程师,3-4年|本科|嵌入式|软件工程师|c++|STM32|生物医学|计算机|芯片|UART|五险一金|餐饮补贴
300137,嵌入式软件工程师,3年及以上|本科|计算机|linux|测试|调试|自动化|c++|软件开发|多线程|mcu|物联网|五险一金|绩效奖金|员工旅游|年终奖金|专业培训
300138,嵌入式软件工程师高薪急聘,5年及以上|本科|keil|硬件工程师|模拟电路|电路原理|软件工程师|研发|大小周|电子|高薪急聘|五险一金|员工旅游|年终奖金|股票期权|弹性工作|下午茶|季度奖|年假|聚餐|大小周
300139,软件工程师（系统） (MJ000111),2年及以上|本科|自动化设备|五险一金|专业培训|年终奖金|定期体检|班车|员工宿舍
300140,高级嵌入式软件工程师,5-7年|本科|扫地机器人|控制软件开发|软件工程|五险一金|补充医疗保险|带薪年假|绩效奖金|全勤奖|节日福利|专业培训|交通补贴|加班补贴|高温补贴
300141,嵌入式软件工程师1177,3年及以上|本科|c++|文档编写|电子信息|通信工程|设计文档|信息|功能调试|二层交换|软件升级维护|系统设计|五险一金|补充医疗保险|弹性工作|专业培训|年终奖金|定期体检|员工旅游
300142,嵌入式软件工程师,3-4年|本科|can/lin|c|嵌入式软件|BootLoader|五险一金|弹性工作|年终奖金|13薪
300143,嵌入式软件工程师(J28879),5年|本科
300144,嵌入式软件工程师,3年及以上|本科|linux|c++|编程|集成测试|计算机科学|嵌入式系统|嵌入式|嵌入式软件|rtos|存储器|五险一金|年终奖金|绩效奖金|带薪年假|节日福利|专业培训
300145,嵌入式软件工程师,3-4年|本科|keil|iar|STM32单片机|RTOS|rtthread|freeRtos|五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金
300146,嵌入式软件工程师,2年|本科|开发|嵌入式|软件|五险一金|补充医疗保险|员工旅游
300147,软件工程师,2年|大专|五险一金|定期体检
300148,嵌入式软件工程师,5年及以上|大专|电子|需求分析|开发|需求调研|c++|代码编写|数字电路|spi|计算机软件|arm|专业培训|五险一金|节日礼物|生日礼物
300149,嵌入式软件工程师,2年|本科|五险一金|交通补贴|餐饮补贴|绩效奖金|年终奖金|定期体检|项目奖金|带薪病假|员工旅游
300150,软件工程师,3年及以上|本科|c++|数字电路|技术文档|vb|系统软件|rs232|调试软件|usb|模拟电路原理|激光医疗
300151,DSP软件工程师,2年及以上|本科|c++|代码编写|spi|汇编语言|i2c|dsp|系统优化|电子通信|c编程|五险一金|餐饮补贴|带薪年假|法定节假日|节日慰问
300152,iOS开发工程师,2年及以上|大专|计算机|objective_c|音视频|ios|电子商务|oc|支付|产品迭代|xcode|用户体验|五险一金
300153,ios开发工程师,1年|开发|app|产品设计|项目开发|架构设计|http|tcp|ui|选型|socket|交通补贴|免费班车|定期体检|专业培训|五险一金|补充医疗保险|补充公积金|餐饮补贴|员工旅游|弹性工作
300154,Android/iOS开发工程师,1年及以上|本科|计算机|java|测试|开发|eclipse|编程|产品开发|编码|xcode|ipad|五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|出国机会|绩效奖金|年终奖金|弹性工作|定期体检
300155,iOS开发工程师,2年及以上|本科|需求分析|功能设计|ios|界面设计|技术文档编写|iphone|swift|软件代码|无线通信|objective|五险一金|专业培训|出国机会|绩效奖金|年终奖金|定期体检
300156,iOS开发工程师,3-4年|大专|五险一金|员工旅游|定期体检|交通补贴|餐饮补贴|通讯补贴
300157,iOS开发工程师,1年|开发|app|产品设计|项目开发|架构设计|http|tcp|ui|选型|socket|交通补贴|免费班车|定期体检|专业培训|五险一金|补充医疗保险|补充公积金|餐饮补贴|员工旅游|弹性工作
300158,iOS开发工程师,2年及以上|本科|ios|swift|objective_c|flutter|五险一金|员工旅游|股票期权|绩效奖金|带薪年假|创业公司
300159,iOS开发工程师,3年及以上|本科|计算机|编码|性能调优|技术文档|可行性方案|网络通讯|内存管理|模块编码|五险一金|年终奖金|弹性工作
300160,IOS开发工程师（双休）,2年及以上|大专|计算机|git|mvc|项目开发|ios|后端开发|性能调优|接口对接|mvvm|xcode|五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金|带薪年假|全勤奖|年底双薪|加班补贴|周末双休|节日礼品
300161,iOS开发工程师,1年|开发|app|产品设计|项目开发|架构设计|http|tcp|ui|选型|socket|交通补贴|免费班车|定期体检|专业培训|五险一金|补充医疗保险|补充公积金|餐饮补贴|员工旅游|弹性工作
300162,iOS开发工程师,1年及以上|本科|计算机|编程|研发|数据结构|app|设计模式|ios|算法|swift|objective_c|五险一金|通讯补贴
300163,iOS开发工程师,无需经验|本科|计算机|测试|开发|git|mvc|设计模式|文档编写|多线程|http|ios|五险一金|补充医疗保险|免费班车|绩效奖金|年终奖金|定期体检
300164,iOS 开发工程师,1年|本科|iOS|swift|rxswift|绩效奖金|定期体检|员工旅游|出国机会|五险一金|通讯补贴|年终奖金|弹性工作
300165,iOS开发工程师,1年|本科|开源框架|ios|objective_c|runtime|ui系统|源码阅读|动画效果|信息系统|ui组件|ios应用开发|五险一金|员工旅游|绩效奖金|专业培训|年终奖金|免费班车
300166,iOS开发工程师,无需经验|大专|ios开发|五险一金|员工旅游|专业培训|绩效奖金|年终奖金|补充医疗保险|补充公积金
300167,Flutter/IOS开发工程师,3-4年|本科|ios|软件开发|软件工程师
300168,iOS开发工程师,2年|本科|周末双休|五险一金|餐饮补贴|年终奖金|做五休二
300169,iOS开发工程师,1年及以上|本科|计算机|java|开发|自动化|软件开发|通信|软件工程|设计模式|多线程|http|五险一金|餐饮补贴|年终奖金|员工宿舍
300170,iOS开发工程师,2年及以上|本科|文档编写|架构设计|计算机软件|ios|swift|ios开发|内存管理|objective_c|app开发|技术攻坚|带薪年假|五险一金|节日福利|员工旅游|专业培训|周末双休|定期体检|年终奖金|全额社保
300171,iOS开发助理工程师(云及APP),1年|本科|linux|c++|软件开发|网络|app|ios|swift|objective_c|音视频|ui组件|五险一金|免费班车|弹性工作
300172,Android开发工程师,5年及以上|本科|android|安卓|安卓开发|软件开发|android开发|五险一金|员工旅游|年终奖金|周末双休
300173,Android开发工程师,1-7年|本科|java|数据库|网络|设计模式|android|多线程|面向对象编程|kotlin|android开发|安卓开发|五险一金
300174,Android开发工程师,1年及以上|大专|计算机|java|android|功能开发|性能调优|优化|kotlin|技术预研|gui|第三方库|五险一金|交通补贴|通讯补贴|定期体检|周末双休|节日福利|带薪年假
300175,Android开发工程师,1年|本科|android|安卓|安卓开发|android开发|framework|智能家居|java|IP通讯
300176,Android开发工程师,1年及以上|大专|计算机|java|android|功能开发|性能调优|优化|kotlin|技术预研|gui|第三方库|五险一金|绩效奖金|双休
300177,资深Android开发工程师,2年|本科
300178,Android开发工程师,3-4年|本科|android|安卓|安卓开发|嵌入式开发|五险一金|餐饮补贴|专业培训|年终奖金
300179,Android开发工程师,3年及以上|本科|android|五险一金|绩效奖金|年终奖金
300180,Android开发工程师,1年|本科|framework|五险一金|员工旅游|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
300181,安卓Android开发工程师,5年及以上|本科|安卓逆向|xposed|HOOK|脱壳
300182,Android开发工程师,1年|本科|java|c++|项目开发|android|xml|json|debug|button|android开发|eventbus|五险一金|绩效奖金|节日福利|餐饮补贴|带薪年假|高温补贴|定期体检|免费班车|生日津贴|生育补助
300183,Android开发工程师,2-3年|本科|计算机|java|测试|网络|设计模式|单元测试|android|http|性能调优|五险一金|置业补贴|父母红包|带薪病假|全薪年假
300184,Android开发工程师,3-4年|本科|android|计算机|开发|数据结构算法|五险一金|员工旅游|定期体检|绩效奖金|专业培训|年终奖金
300185,Android开发工程师,2年及以上|大专|android|linux|c++|音视频编解码|ui设计|多线程|开源框架|五险一金|补充医疗保险|年终奖金|员工旅游|股票期权|定期体检|下午茶|团建活动|商业险|年休假|年度调薪
300186,Android开发工程师,2年|本科|五险一金|餐饮补贴|绩效奖金|年终奖金|员工旅游|定期体检|专业培训|节日福利
300187,Android开发工程师,1年|本科|android|安卓|安卓开发|软件开发|android开发|开发|软件工程师|工程师
300188,Android开发工程师,1年|大专|android|安卓|安卓开发|android开发
300189,Android开发工程师,2年|大专|计算机|java|c++|app|android|开源框架|代码|应用开发|androidsdk|开发调试|五险一金|员工旅游|年终奖金
